"","coords.x1","coords.x2","sp.ID","time","endTime","timeIndex","id","x","y","z","Year","Month","Day","DayYear","T.max","T.min","T.mean","Rainfall","cdd_st"
"1","93625.69","67967.2","1","2017-03-03","2017-03-04","17229","1","6.354936","49.54519","207","2017"," 3"," 3"," 62"," 13.500000","  1.1000000","  7.3000000","  0.00","0"
"2","93625.69","67967.2","1","2017-03-04","2017-03-05","17230","1","6.354936","49.54519","207","2017"," 3"," 4"," 63"," 17.000000","  5.6000000"," 11.3000000","  3.50","11.3"
"3","93625.69","67967.2","1","2017-03-05","2017-03-06","17231","1","6.354936","49.54519","207","2017"," 3"," 5"," 64","  9.200000","  4.4000000","  6.8000000","  7.70","18.1"
"4","93625.69","67967.2","1","2017-03-06","2017-03-07","17232","1","6.354936","49.54519","207","2017"," 3"," 6"," 65","  9.600000","  4.4000000","  7.0000000","  0.40","25.1"
"5","93625.69","67967.2","1","2017-03-07","2017-03-08","17233","1","6.354936","49.54519","207","2017"," 3"," 7"," 66","  9.100000","  1.2000000","  5.2000000","  1.50","30.3"
"6","93625.69","67967.2","1","2017-03-08","2017-03-09","17234","1","6.354936","49.54519","207","2017"," 3"," 8"," 67"," 11.400000","  0.2000000","  5.8000000","  4.80","36.1"
"7","93625.69","67967.2","1","2017-03-09","2017-03-10","17235","1","6.354936","49.54519","207","2017"," 3"," 9"," 68"," 15.500000","  7.5000000"," 11.5000000","  7.00","47.6"
"8","93625.69","67967.2","1","2017-03-10","2017-03-11","17236","1","6.354936","49.54519","207","2017"," 3","10"," 69"," 14.200000","  0.7000000","  7.5000000","  0.00","55.1"
"9","93625.69","67967.2","1","2017-03-11","2017-03-12","17237","1","6.354936","49.54519","207","2017"," 3","11"," 70"," 17.900000","  0.4000000","  9.2000000","  0.00","64.3"
"10","93625.69","67967.2","1","2017-03-12","2017-03-13","17238","1","6.354936","49.54519","207","2017"," 3","12"," 71"," 16.800000","  2.5000000","  9.7000000","  0.00","74"
"11","93625.69","67967.2","1","2017-03-13","2017-03-14","17239","1","6.354936","49.54519","207","2017"," 3","13"," 72"," 16.800000","  1.5000000","  9.2000000","  0.00","83.2"
"12","93625.69","67967.2","1","2017-03-14","2017-03-15","17240","1","6.354936","49.54519","207","2017"," 3","14"," 73"," 15.700000","  2.2000000","  9.0000000","  0.00","92.2"
"13","93625.69","67967.2","1","2017-03-15","2017-03-16","17241","1","6.354936","49.54519","207","2017"," 3","15"," 74"," 16.900000","  3.6000000"," 10.3000000","  0.00","102.5"
"14","93625.69","67967.2","1","2017-03-16","2017-03-17","17242","1","6.354936","49.54519","207","2017"," 3","16"," 75"," 21.100000","  3.0000000"," 12.1000000","  0.00","114.6"
