"","coords.x1","coords.x2","sp.ID","time","endTime","timeIndex","id","x","y","z","Year","Month","Day","DayYear","T.max","T.min","T.mean","Rainfall","cdd_st"
"1","93625.69","67967.2","1","2016-03-02","2016-03-03","16863","1","6.354936","49.54519","207","2016"," 3"," 2"," 62","  9.200000","  1.6000000","  5.4000000"," 10.00","0"
"2","93625.69","67967.2","1","2016-03-03","2016-03-04","16864","1","6.354936","49.54519","207","2016"," 3"," 3"," 63","  5.300000"," -2.2000000","  1.5500000","  4.00","1.87266666666699"
"3","93625.69","67967.2","1","2016-03-04","2016-03-05","16865","1","6.354936","49.54519","207","2016"," 3"," 4"," 64","  5.500000"," -2.2000000","  1.6500000","  9.20","3.83695238095197"
"4","93625.69","67967.2","1","2016-03-05","2016-03-06","16866","1","6.354936","49.54519","207","2016"," 3"," 5"," 65","  6.600000"," -0.1000000","  3.2500000","  2.40","7.08769864960897"
"5","93625.69","67967.2","1","2016-03-06","2016-03-07","16867","1","6.354936","49.54519","207","2016"," 3"," 6"," 66","  4.400000"," -0.3000000","  2.0500000","  1.10","9.147273117694"
"6","93625.69","67967.2","1","2016-03-07","2016-03-08","16868","1","6.354936","49.54519","207","2016"," 3"," 7"," 67","  8.200000"," -1.3000000","  3.4500000","  0.00","12.686220486115"
"7","93625.69","67967.2","1","2016-03-08","2016-03-09","16869","1","6.354936","49.54519","207","2016"," 3"," 8"," 68","  6.700000"," -3.4000000","  1.6500000","  0.00","14.908497713838"
"8","93625.69","67967.2","1","2016-03-09","2016-03-10","16870","1","6.354936","49.54519","207","2016"," 3"," 9"," 69","  8.100000"," -1.1000000","  3.5000000","  0.00","18.474258583403"
"9","93625.69","67967.2","1","2016-03-10","2016-03-11","16871","1","6.354936","49.54519","207","2016"," 3","10"," 70"," 10.600000"," -0.6000000","  5.0000000","  0.00","23.490330011975"
"10","93625.69","67967.2","1","2016-03-11","2016-03-12","16872","1","6.354936","49.54519","207","2016"," 3","11"," 71","  9.300000"," -1.1000000","  4.1000000","  0.00","27.648503088898"
"11","93625.69","67967.2","1","2016-03-12","2016-03-13","16873","1","6.354936","49.54519","207","2016"," 3","12"," 72"," 10.300000"," -0.8000000","  4.7500000","  0.00","32.427331917727"
"12","93625.69","67967.2","1","2016-03-13","2016-03-14","16874","1","6.354936","49.54519","207","2016"," 3","13"," 73"," 11.600000"," -0.1000000","  5.7500000","  0.00","38.177759268154"
"13","93625.69","67967.2","1","2016-03-14","2016-03-15","16875","1","6.354936","49.54519","207","2016"," 3","14"," 74"," 11.100000","  0.7000000","  5.9000000","  0.00","44.077759268154"
"14","93625.69","67967.2","1","2016-03-15","2016-03-16","16876","1","6.354936","49.54519","207","2016"," 3","15"," 75","  9.600000"," -1.0000000","  4.3000000","  0.00","48.424929079475"
