"","coords.x1","coords.x2","sp.ID","time","endTime","timeIndex","id","x","y","z","Year","Month","Day","DayYear","T.max","T.min","T.mean","Rainfall","cdd_luht"
"1","93625.69","67967.2","1","1972-04-29","1972-04-30","  850","1","6.354936","49.54519","207","1972"," 4","29","120"," 12.200000","  6.0000000","  9.1000000","  0.00","0"
"2","93625.69","67967.2","1","1972-04-30","1972-05-01","  851","1","6.354936","49.54519","207","1972"," 4","30","121"," 20.000000"," 11.4000000"," 15.7000000","  0.00","10.7"
"3","93625.69","67967.2","1","1972-05-01","1972-05-02","  852","1","6.354936","49.54519","207","1972"," 5"," 1","122"," 21.700000","  6.2000000"," 13.9500000","  0.00","19.65"
"4","93625.69","67967.2","1","1972-05-02","1972-05-03","  853","1","6.354936","49.54519","207","1972"," 5"," 2","123"," 22.100000","  6.7000000"," 14.4000000","  0.00","29.05"
"5","93625.69","67967.2","1","1972-05-03","1972-05-04","  854","1","6.354936","49.54519","207","1972"," 5"," 3","124"," 23.200000"," 11.5000000"," 17.3500000","  0.00","41.4"
"6","93625.69","67967.2","1","1972-05-04","1972-05-05","  855","1","6.354936","49.54519","207","1972"," 5"," 4","125"," 14.600000"," 11.4000000"," 13.0000000","  0.00","49.4"
"7","93625.69","67967.2","1","1972-05-05","1972-05-06","  856","1","6.354936","49.54519","207","1972"," 5"," 5","126"," 12.500000","  9.4000000"," 10.9500000","  1.60","55.35"
"8","93625.69","67967.2","1","1972-05-06","1972-05-07","  857","1","6.354936","49.54519","207","1972"," 5"," 6","127"," 18.500000","  2.8000000"," 10.6500000","  0.00","61"
"9","93625.69","67967.2","1","1972-05-07","1972-05-08","  858","1","6.354936","49.54519","207","1972"," 5"," 7","128"," 20.500000","  6.0000000"," 13.2500000","  0.00","69.25"
"10","93625.69","67967.2","1","1972-05-08","1972-05-09","  859","1","6.354936","49.54519","207","1972"," 5"," 8","129"," 21.700000","  5.0000000"," 13.3500000","  0.00","77.6"
"11","93625.69","67967.2","1","1972-05-09","1972-05-10","  860","1","6.354936","49.54519","207","1972"," 5"," 9","130"," 17.500000","  8.6000000"," 13.0500000","  0.00","85.65"
"12","93625.69","67967.2","1","1972-05-10","1972-05-11","  861","1","6.354936","49.54519","207","1972"," 5","10","131"," 11.500000","  7.0000000","  9.2500000","  8.40","89.9"
"13","93625.69","67967.2","1","1972-05-11","1972-05-12","  862","1","6.354936","49.54519","207","1972"," 5","11","132"," 13.000000","  7.1000000"," 10.0500000","  0.50","94.95"
"14","93625.69","67967.2","1","1972-05-12","1972-05-13","  863","1","6.354936","49.54519","207","1972"," 5","12","133","  9.600000","  6.1000000","  7.8500000","  6.40","97.8"
"15","93625.69","67967.2","1","1972-05-13","1972-05-14","  864","1","6.354936","49.54519","207","1972"," 5","13","134"," 13.300000","  4.4000000","  8.8500000","  0.00","101.65"
"16","93625.69","67967.2","1","1972-05-14","1972-05-15","  865","1","6.354936","49.54519","207","1972"," 5","14","135"," 11.000000","  5.0000000","  8.0000000","  0.00","104.65"
"17","93625.69","67967.2","1","1972-05-15","1972-05-16","  866","1","6.354936","49.54519","207","1972"," 5","15","136"," 10.200000","  5.7000000","  7.9500000","  0.00","107.6"
"18","93625.69","67967.2","1","1972-05-16","1972-05-17","  867","1","6.354936","49.54519","207","1972"," 5","16","137","  9.500000","  5.0000000","  7.2500000","  9.00","109.85"
"19","93625.69","67967.2","1","1972-05-17","1972-05-18","  868","1","6.354936","49.54519","207","1972"," 5","17","138","  7.200000","  4.6000000","  5.9000000","  4.80","110.75"
"20","93625.69","67967.2","1","1972-05-18","1972-05-19","  869","1","6.354936","49.54519","207","1972"," 5","18","139"," 13.600000","  5.5000000","  9.5500000","  0.50","115.3"
"21","93625.69","67967.2","1","1972-05-19","1972-05-20","  870","1","6.354936","49.54519","207","1972"," 5","19","140"," 17.500000","  2.7000000"," 10.1000000","  0.00","120.4"
"22","93625.69","67967.2","1","1972-05-20","1972-05-21","  871","1","6.354936","49.54519","207","1972"," 5","20","141"," 18.000000","  7.0000000"," 12.5000000","  2.50","127.9"
