"","coords.x1","coords.x2","sp.ID","time","endTime","timeIndex","id","x","y","z","Year","Month","Day","DayYear","T.max","T.min","T.mean","Rainfall","cdd_luht"
"1","93625.69","67967.2","1","2016-05-01","2016-05-02","16923","1","6.354936","49.54519","207","2016"," 5"," 1","122"," 15.600000","  4.6000000"," 10.1000000"," 12.50","0"
"2","93625.69","67967.2","1","2016-05-02","2016-05-03","16924","1","6.354936","49.54519","207","2016"," 5"," 2","123"," 21.600000","  4.2000000"," 12.9000000","  0.00","7.90000000000001"
"3","93625.69","67967.2","1","2016-05-03","2016-05-04","16925","1","6.354936","49.54519","207","2016"," 5"," 3","124"," 16.200000","  4.5000000"," 10.3500000","  1.10","13.25"
"4","93625.69","67967.2","1","2016-05-04","2016-05-05","16926","1","6.354936","49.54519","207","2016"," 5"," 4","125"," 17.700000","  1.3000000","  9.5000000","  0.00","17.75"
"5","93625.69","67967.2","1","2016-05-05","2016-05-06","16927","1","6.354936","49.54519","207","2016"," 5"," 5","126"," 20.800000","  3.9000000"," 12.3500000","  0.00","25.1"
"6","93625.69","67967.2","1","2016-05-06","2016-05-07","16928","1","6.354936","49.54519","207","2016"," 5"," 6","127"," 24.600000","  8.6000000"," 16.6000000","  0.00","36.7"
"7","93625.69","67967.2","1","2016-05-07","2016-05-08","16929","1","6.354936","49.54519","207","2016"," 5"," 7","128"," 27.000000","  8.1000000"," 17.5500000","  0.00","49.25"
"8","93625.69","67967.2","1","2016-05-08","2016-05-09","16930","1","6.354936","49.54519","207","2016"," 5"," 8","129"," 26.600000"," 10.5000000"," 18.5500000","  0.00","62.8"
"9","93625.69","67967.2","1","2016-05-09","2016-05-10","16931","1","6.354936","49.54519","207","2016"," 5"," 9","130"," 25.400000"," 15.4000000"," 20.4000000","  1.20","77.8"
"10","93625.69","67967.2","1","2016-05-10","2016-05-11","16932","1","6.354936","49.54519","207","2016"," 5","10","131"," 20.800000"," 14.2000000"," 17.5000000","  2.30","90.3"
"11","93625.69","67967.2","1","2016-05-11","2016-05-12","16933","1","6.354936","49.54519","207","2016"," 5","11","132"," 25.300000"," 11.8000000"," 18.5500000","  0.80","103.85"
"12","93625.69","67967.2","1","2016-05-12","2016-05-13","16934","1","6.354936","49.54519","207","2016"," 5","12","133"," 20.300000"," 12.4000000"," 16.3500000","  0.00","115.2"
"13","93625.69","67967.2","1","2016-05-13","2016-05-14","16935","1","6.354936","49.54519","207","2016"," 5","13","134"," 25.000000","  9.8000000"," 17.4000000","  4.10","127.6"
"14","93625.69","67967.2","1","2016-05-14","2016-05-15","16936","1","6.354936","49.54519","207","2016"," 5","14","135"," 14.500000","  4.8000000","  9.6500000","  0.10","132.25"
"15","93625.69","67967.2","1","2016-05-15","2016-05-16","16937","1","6.354936","49.54519","207","2016"," 5","15","136"," 12.300000","  1.6000000","  6.9500000","  0.00","134.2"
"16","93625.69","67967.2","1","2016-05-16","2016-05-17","16938","1","6.354936","49.54519","207","2016"," 5","16","137"," 13.900000","  4.1000000","  9.0000000","  1.30","138.2"
"17","93625.69","67967.2","1","2016-05-17","2016-05-18","16939","1","6.354936","49.54519","207","2016"," 5","17","138"," 17.600000","  3.3000000"," 10.4500000","  0.00","143.65"
"18","93625.69","67967.2","1","2016-05-18","2016-05-19","16940","1","6.354936","49.54519","207","2016"," 5","18","139"," 18.500000","  9.7000000"," 14.1000000","  1.00","152.75"
"19","93625.69","67967.2","1","2016-05-19","2016-05-20","16941","1","6.354936","49.54519","207","2016"," 5","19","140"," 16.900000","  8.1000000"," 12.5000000","  0.20","160.25"
"20","93625.69","67967.2","1","2016-05-20","2016-05-21","16942","1","6.354936","49.54519","207","2016"," 5","20","141"," 17.500000","  7.6000000"," 12.5500000","  0.00","167.8"
"21","93625.69","67967.2","1","2016-05-21","2016-05-22","16943","1","6.354936","49.54519","207","2016"," 5","21","142"," 23.500000","  8.8000000"," 16.1500000","  0.00","178.95"
"22","93625.69","67967.2","1","2016-05-22","2016-05-23","16944","1","6.354936","49.54519","207","2016"," 5","22","143"," 23.700000"," 11.8000000"," 17.7500000","  0.00","191.7"
"23","93625.69","67967.2","1","2016-05-23","2016-05-24","16945","1","6.354936","49.54519","207","2016"," 5","23","144"," 14.600000"," 10.7000000"," 12.6500000","  0.00","199.35"
"24","93625.69","67967.2","1","2016-05-24","2016-05-25","16946","1","6.354936","49.54519","207","2016"," 5","24","145"," 14.900000"," 10.2000000"," 12.5500000","  0.00","206.9"
"25","93625.69","67967.2","1","2016-05-25","2016-05-26","16947","1","6.354936","49.54519","207","2016"," 5","25","146"," 19.600000","  8.9000000"," 14.2500000","  0.00","216.15"
"26","93625.69","67967.2","1","2016-05-26","2016-05-27","16948","1","6.354936","49.54519","207","2016"," 5","26","147"," 25.100000","  8.8000000"," 16.9500000","  0.00","228.1"
"27","93625.69","67967.2","1","2016-05-27","2016-05-28","16949","1","6.354936","49.54519","207","2016"," 5","27","148"," 25.500000"," 12.9000000"," 19.2000000","  0.00","242.3"
"28","93625.69","67967.2","1","2016-05-28","2016-05-29","16950","1","6.354936","49.54519","207","2016"," 5","28","149"," 24.100000"," 10.7000000"," 17.4000000"," 10.00","254.7"
"29","93625.69","67967.2","1","2016-05-29","2016-05-30","16951","1","6.354936","49.54519","207","2016"," 5","29","150"," 21.800000"," 13.2000000"," 17.5000000","  0.00","267.2"
"30","93625.69","67967.2","1","2016-05-30","2016-05-31","16952","1","6.354936","49.54519","207","2016"," 5","30","151"," 17.200000"," 12.7000000"," 14.9500000"," 56.00","277.15"
"31","93625.69","67967.2","1","2016-05-31","2016-06-01","16953","1","6.354936","49.54519","207","2016"," 5","31","152"," 18.100000"," 12.4000000"," 15.2500000","  1.00","287.4"
"32","93625.69","67967.2","1","2016-06-01","2016-06-02","16954","1","6.354936","49.54519","207","2016"," 6"," 1","153"," 21.100000"," 12.8000000"," 16.9500000"," 24.00","299.35"
"33","93625.69","67967.2","1","2016-06-02","2016-06-03","16955","1","6.354936","49.54519","207","2016"," 6"," 2","154"," 21.900000"," 13.9000000"," 17.9000000"," 12.10","312.25"
"34","93625.69","67967.2","1","2016-06-03","2016-06-04","16956","1","6.354936","49.54519","207","2016"," 6"," 3","155"," 24.600000"," 14.9000000"," 19.7500000","  5.40","327"
"35","93625.69","67967.2","1","2016-06-04","2016-06-05","16957","1","6.354936","49.54519","207","2016"," 6"," 4","156"," 23.900000"," 14.0000000"," 18.9500000","  2.80","340.95"
"36","93625.69","67967.2","1","2016-06-05","2016-06-06","16958","1","6.354936","49.54519","207","2016"," 6"," 5","157"," 25.600000"," 12.9000000"," 19.2500000","  0.10","355.2"
"37","93625.69","67967.2","1","2016-06-06","2016-06-07","16959","1","6.354936","49.54519","207","2016"," 6"," 6","158"," 27.800000"," 14.2000000"," 21.0000000","  1.50","370.2"
"38","93625.69","67967.2","1","2016-06-07","2016-06-08","16960","1","6.354936","49.54519","207","2016"," 6"," 7","159"," 29.200000"," 14.8000000"," 22.0000000"," 12.50","385.2"
"39","93625.69","67967.2","1","2016-06-08","2016-06-09","16961","1","6.354936","49.54519","207","2016"," 6"," 8","160"," 24.400000"," 14.2000000"," 19.3000000","  9.70","399.5"
"40","93625.69","67967.2","1","2016-06-09","2016-06-10","16962","1","6.354936","49.54519","207","2016"," 6"," 9","161"," 24.200000"," 11.5000000"," 17.8500000","  0.00","412.35"
"41","93625.69","67967.2","1","2016-06-10","2016-06-11","16963","1","6.354936","49.54519","207","2016"," 6","10","162"," 24.300000","  9.2000000"," 16.7500000","  0.00","424.1"
"42","93625.69","67967.2","1","2016-06-11","2016-06-12","16964","1","6.354936","49.54519","207","2016"," 6","11","163"," 19.600000"," 13.8000000"," 16.7000000","  1.00","435.8"
"43","93625.69","67967.2","1","2016-06-12","2016-06-13","16965","1","6.354936","49.54519","207","2016"," 6","12","164"," 22.800000"," 14.3000000"," 18.5500000"," 10.70","449.35"
"44","93625.69","67967.2","1","2016-06-13","2016-06-14","16966","1","6.354936","49.54519","207","2016"," 6","13","165"," 18.700000"," 14.5000000"," 16.6000000"," 12.20","460.95"
"45","93625.69","67967.2","1","2016-06-14","2016-06-15","16967","1","6.354936","49.54519","207","2016"," 6","14","166"," 19.300000"," 13.3000000"," 16.3000000","  5.80","472.25"
"46","93625.69","67967.2","1","2016-06-15","2016-06-16","16968","1","6.354936","49.54519","207","2016"," 6","15","167"," 19.000000"," 10.3000000"," 14.6500000"," 16.20","481.9"
"47","93625.69","67967.2","1","2016-06-16","2016-06-17","16969","1","6.354936","49.54519","207","2016"," 6","16","168"," 19.300000","  8.4000000"," 13.8500000","  6.70","490.75"
"48","93625.69","67967.2","1","2016-06-17","2016-06-18","16970","1","6.354936","49.54519","207","2016"," 6","17","169"," 19.600000"," 10.5000000"," 15.0500000","  8.70","500.8"
"49","93625.69","67967.2","1","2016-06-18","2016-06-19","16971","1","6.354936","49.54519","207","2016"," 6","18","170"," 20.900000"," 10.2000000"," 15.5500000","  1.80","511.35"
"50","93625.69","67967.2","1","2016-06-19","2016-06-20","16972","1","6.354936","49.54519","207","2016"," 6","19","171"," 19.900000","  9.0000000"," 14.4500000","  0.00","520.8"
"51","93625.69","67967.2","1","2016-06-20","2016-06-21","16973","1","6.354936","49.54519","207","2016"," 6","20","172"," 21.000000","  6.5000000"," 13.7500000","  4.00","529.55"
"52","93625.69","67967.2","1","2016-06-21","2016-06-22","16974","1","6.354936","49.54519","207","2016"," 6","21","173"," 20.500000"," 14.9000000"," 17.7000000","  4.50","542.25"
"53","93625.69","67967.2","1","2016-06-22","2016-06-23","16975","1","6.354936","49.54519","207","2016"," 6","22","174"," 28.200000"," 17.1000000"," 22.6500000","  0.00","557.25"
"54","93625.69","67967.2","1","2016-06-23","2016-06-24","16976","1","6.354936","49.54519","207","2016"," 6","23","175"," 33.400000"," 16.1000000"," 24.7500000","  0.00","572.25"
